,greedy,classic
0,41357.61758527878,41177.54907295838
1,44683.09630859988,44247.485828400844
2,45203.72600998435,44696.04892405702
3,45207.52796074887,44740.25578370163
4,47728.991167453685,46963.85126593666
5,49430.5483049291,48584.90305345445
6,48899.60174668054,48028.918243755186
7,47785.64236978502,46791.62096128261
8,50079.634400829884,48626.68243669043
9,52153.26370970502,50267.750183210395
10,52647.95145930056,50583.353293747285
11,52766.20118320817,50754.28645292193
12,56935.31042694614,54260.96294789228
13,57838.69335245426,55229.86978670267
14,57032.28753648152,54455.20258348627
15,58252.795667446444,55520.31479002999
16,57674.92973484891,54692.279406243106
17,56266.08124908107,52816.4793409184
18,57083.261563052525,54185.091192119246
19,53207.60601745949,51323.26999491591
20,53816.49969974197,51894.03087883695
21,50724.20189058561,48615.44342146194
22,52037.12235459993,50546.57935301672
23,49699.08560037818,48737.192927549215
24,48878.57473470547,48000.36500327403
25,46401.1625098744,45746.42942622916
26,44374.90588856314,43940.250481677016
27,42080.62601585396,41856.71870008165
28,41211.13894739988,41208.2986750135
29,39902.49607228918,39930.93290059162
30,37309.501209226095,37476.79931037761
31,38502.620727573434,38575.01113368498
32,39159.06833345939,39168.14943040198
33,39730.46041536093,39710.59829173294
34,40382.04098305302,40277.25453267235
35,44596.35284195885,44171.944459492566
36,52075.80209496075,50930.20952512293
37,54284.59783570373,52542.973632415065
38,55557.60024071574,53032.33107711711
39,56527.293977731184,53686.53548995402
40,57217.11216284391,53969.005427736025
41,57724.43388298345,54483.76915035049
42,57907.044445519765,54725.50795035185
43,57732.04080656482,54861.390423117016
44,58047.02506385016,54844.8018185489
45,57867.238083911594,54801.14948270765
46,57453.66110335348,54473.08063370623
47,57052.22151040119,53641.330179338685
48,56061.65957761877,52777.18275360667
49,55302.0214973876,52296.36897562362
50,54087.13052415753,51437.3441619599
51,52927.15953962803,50726.80612491938
52,51282.5907728644,49653.46497513443
53,50038.372365853604,48834.83903048375
54,48929.7829592854,47997.10040226893
55,47547.58332063033,46790.59404109247
56,45912.056522683095,45417.99500349441
57,44519.106505660435,44145.42801343019
58,43106.259517926985,43172.381157279655
59,42277.95796788269,42142.95312486551
60,40422.897582971425,40323.463628632955
61,43825.47740092132,43459.44410216225
62,46098.0466910006,45513.31123155172
63,47944.121930497604,47271.56956439654
64,49815.713056307,48875.859737585895
65,51603.74396656666,50606.63084214386
66,53061.12548845503,51887.73417491559
67,54454.68658009242,52701.02765343575
68,55511.9123047115,52969.31976686373
69,56629.75420745942,53802.674911330374
70,57276.437410777704,54039.260872718085
71,57663.95527356044,54425.36623021561
72,57844.853043279916,54664.6854306944
73,57815.177304602235,54952.086754744756
74,57965.22204207446,54762.056881349614
75,57868.508249976716,54807.328938122184
76,57438.57764792843,54461.433687081575
77,56730.786165476726,53307.675272563494
78,55572.853751021576,52254.729340302794
79,54447.437800907646,51381.02555988393
80,53076.20226438574,50347.91220350255
81,51497.86191856677,49303.583985765865
82,49100.508768007385,47583.6130267738
83,47344.32249808776,46301.34331331509
84,46152.08597572363,45398.37149626346
85,44995.23608839624,44442.0954227516
86,43108.00272443527,42866.6641306187
87,41880.046973647935,41724.72928188377
88,40454.64541947515,40694.789621378564
89,39169.29321289733,39248.4092567274
90,40433.077929276966,40332.75819208201
91,44599.492910757996,44170.84737401967
92,46648.60579722007,46017.60356052874
93,48475.47586303531,47775.43683183228
94,50294.04575396096,49321.745460295795
95,51799.66095403325,50807.84644250664
96,53046.95775087252,51910.437835797646
97,54335.826653935845,52601.759801724314
98,55315.355849505744,52704.80692686104
99,56285.75076375614,53449.41410001473
100,56765.006594389066,53510.30890933634
101,56954.2529850505,53717.48968985727
102,57013.637176525226,53804.94593748804
103,56842.44063588042,53963.56668181197
104,57028.11170607177,53782.34175029869
105,56331.725072548994,53266.5103240077
106,55564.41644651408,52660.09523481953
107,55609.76265873362,52159.81366766339
108,54292.42320765101,50966.70297680692
109,55288.232549191096,52292.0228947378
